strategie;session;nbtirage;gain;pot;max
S2CStatic;100;150;0;212;217
S2CNotLast;100;150;0;206;206
S2C6NStatic;100;150;0;170;232
S2C6NStaticMart;100;62;0;352;352
SMourad1;100;91;0;2;488
S2CStatic;101;150;0;206;212
S2CNotLast;101;150;0;179;202
S2C6NStatic;101;150;0;176;223
S2C6NStaticMart;101;150;0;28;327
SMourad1;101;55;0;2;320
S2CStatic;102;150;0;227;229
S2CNotLast;102;150;0;188;205
S2C6NStatic;102;150;0;173;211
S2C6NStaticMart;102;150;0;201;316
SMourad1;102;150;0;1784;1784
S2CStatic;103;150;0;164;206
S2CNotLast;103;150;0;167;203
S2C6NStatic;103;150;0;200;246
S2C6NStaticMart;103;150;0;7;345
SMourad1;103;74;0;2;299
S2CStatic;104;150;0;215;216
S2CNotLast;104;150;0;167;202
S2C6NStatic;104;150;0;221;232
S2C6NStaticMart;104;150;0;30;232
SMourad1;104;150;0;320;770
S2CStatic;105;150;0;191;200
S2CNotLast;105;150;0;179;203
S2C6NStatic;105;150;0;65;207
S2C6NStaticMart;105;53;0;1;209
SMourad1;105;150;0;1046;1490
S2CStatic;106;150;0;179;203
S2CNotLast;106;150;0;182;200
S2C6NStatic;106;150;0;131;200
S2C6NStaticMart;106;49;0;1;239
SMourad1;106;29;0;2;233
S2CStatic;107;150;0;167;203
S2CNotLast;107;150;0;188;209
S2C6NStatic;107;150;0;161;224
S2C6NStaticMart;107;143;0;1;275
SMourad1;107;107;0;2;440
S2CStatic;108;150;0;239;239
S2CNotLast;108;150;0;212;226
S2C6NStatic;108;150;0;215;215
S2C6NStaticMart;108;150;0;218;254
SMourad1;108;52;0;2;200
S2CStatic;109;150;0;206;212
S2CNotLast;109;150;0;182;206
S2C6NStatic;109;150;0;68;231
S2C6NStaticMart;109;13;0;351;351
SMourad1;109;34;0;2;215
S2CStatic;110;150;0;188;203
S2CNotLast;110;150;0;161;204
S2C6NStatic;110;150;0;86;202
S2C6NStaticMart;110;133;0;1;204
SMourad1;110;39;0;2;200
S2CStatic;111;150;0;173;213
S2CNotLast;111;150;0;215;228
S2C6NStatic;111;150;0;119;215
S2C6NStaticMart;111;93;0;1;252
SMourad1;111;87;0;2;509
S2CStatic;112;150;0;188;222
S2CNotLast;112;150;0;185;213
S2C6NStatic;112;150;0;212;261
S2C6NStaticMart;112;14;0;358;358
SMourad1;112;34;0;2;200
S2CStatic;113;150;0;212;213
S2CNotLast;113;150;0;191;206
S2C6NStatic;113;150;0;242;253
S2C6NStaticMart;113;150;0;176;320
SMourad1;113;35;0;2;200
S2CStatic;114;150;0;203;206
S2CNotLast;114;150;0;167;207
S2C6NStatic;114;150;0;107;218
S2C6NStaticMart;114;69;0;1;271
SMourad1;114;150;0;704;713
S2CStatic;115;150;0;191;207
S2CNotLast;115;150;0;212;221
S2C6NStatic;115;150;0;101;200
S2C6NStaticMart;115;100;0;0;201
SMourad1;115;29;0;2;212
S2CStatic;116;150;0;188;224
S2CNotLast;116;150;0;194;217
S2C6NStatic;116;150;0;140;258
S2C6NStaticMart;116;21;0;350;350
SMourad1;116;31;0;2;209
S2CStatic;117;150;0;173;202
S2CNotLast;117;150;0;212;217
S2C6NStatic;117;150;0;119;204
S2C6NStaticMart;117;43;0;0;212
SMourad1;117;28;0;2;227
S2CStatic;118;150;0;173;203
S2CNotLast;118;150;0;185;200
S2C6NStatic;118;150;0;83;233
S2C6NStaticMart;118;25;0;364;364
SMourad1;118;51;0;2;221
S2CStatic;119;150;0;194;212
S2CNotLast;119;150;0;173;201
S2C6NStatic;119;150;0;296;296
S2C6NStaticMart;119;52;0;354;354
SMourad1;119;35;0;2;221
S2CStatic;120;150;0;218;226
S2CNotLast;120;150;0;215;219
S2C6NStatic;120;150;0;326;340
S2C6NStaticMart;120;14;0;364;364
SMourad1;120;133;0;2;662
S2CStatic;121;150;0;197;204
S2CNotLast;121;150;0;203;207
S2C6NStatic;121;150;0;167;233
S2C6NStaticMart;121;46;0;360;360
SMourad1;121;27;0;2;227
S2CStatic;122;150;0;209;212
S2CNotLast;122;150;0;197;210
S2C6NStatic;122;150;0;209;278
S2C6NStaticMart;122;30;0;361;361
SMourad1;122;30;0;2;233
S2CStatic;123;150;0;215;215
S2CNotLast;123;150;0;161;202
S2C6NStatic;123;150;0;239;256
S2C6NStaticMart;123;150;0;283;345
SMourad1;123;34;0;2;200
S2CStatic;124;150;0;218;220
S2CNotLast;124;150;0;173;201
S2C6NStatic;124;150;0;236;249
S2C6NStaticMart;124;33;0;350;350
SMourad1;124;89;0;2;428
S2CStatic;125;150;0;179;210
S2CNotLast;125;150;0;218;225
S2C6NStatic;125;150;0;113;221
S2C6NStaticMart;125;150;0;7;286
SMourad1;125;150;0;662;782
S2CStatic;126;150;0;215;228
S2CNotLast;126;150;0;152;201
S2C6NStatic;126;150;0;185;266
S2C6NStaticMart;126;150;0;16;225
SMourad1;126;150;0;209;791
S2CStatic;127;150;0;188;208
S2CNotLast;127;150;0;197;213
S2C6NStatic;127;150;0;194;206
S2C6NStaticMart;127;117;0;0;220
SMourad1;127;73;0;2;413
S2CStatic;128;150;0;209;212
S2CNotLast;128;150;0;200;209
S2C6NStatic;128;150;0;245;256
S2C6NStaticMart;128;116;0;350;350
SMourad1;128;150;0;374;521
S2CStatic;129;150;0;182;204
S2CNotLast;129;150;0;179;204
S2C6NStatic;129;150;0;164;202
S2C6NStaticMart;129;86;0;0;265
SMourad1;129;34;0;2;230
S2CStatic;130;150;0;215;215
S2CNotLast;130;150;0;221;228
S2C6NStatic;130;150;0;203;240
S2C6NStaticMart;130;150;0;268;332
SMourad1;130;36;0;2;221
S2CStatic;131;150;0;197;210
